T5S3-4.7-e-paper-PRO	2026-09-01T03:24:55Z	H752-01	114	UI written for the LilyGo-EPD47-S3 project
T-Display-S3-MicroPython	2026-09-04T06:51:48Z	main	4	
lilygobox-espidf	2026-09-02T10:20:17Z	main	2	
T-Echo-Lite-MicroPython	2026-09-04T01:27:42Z	main	0	
lilygo_device_driver_example	2026-09-04T01:11:50Z	main	0	
lilygo_device_driver	2026-09-04T01:11:27Z	main	1	
T-Halow-P4	2026-08-05T08:10:13Z	master	8	
T-Display-S3	2026-08-31T07:24:25Z	main	1167	
T-2Can	2026-08-24T08:06:47Z	main	35	
T-CAN485	2026-08-27T06:57:53Z	arduino-esp32-libs_v3.0.1	164	
T-Display-K230	2026-09-03T09:49:04Z	main	1	
T-QT-C6	2026-09-03T08:34:34Z	main	16	TQT-C6 is a mini development board based on the ESP32C6 chip, which is only the size of two thumbnails. It features a 128x128px TFT full-color touch screen, a separate charging indicator light, and an independent battery. It can communicate with the power path management chip to modify the power bus status and limit values.
T-Display-S3-Pro	2026-08-06T09:33:36Z	master	63	
LilyGo-Modem-Series	2026-09-03T07:54:45Z	main	348	LilyGo A7670X A7608X SIM7670G SIM7000G SIM7080 SIM7600 series
LILYGO-Spark	2026-09-03T05:21:51Z	main	28	A firmware hub and flashing tool for esp32 series boards — discover, share, and flash firmware with ease.
T-Embed-CC1101	2026-08-24T09:43:54Z	master	495	
T-Deck	2026-09-03T03:33:36Z	master	602	LilyGo-T-Deck & T-Deck-Plus
LilyGo-Modem-Series-MicroPython	2025-09-18T02:59:57Z	main	2	
T-Display-K230_canmv_rt	2026-08-03T02:27:11Z	main	25	
LilyGo-T-Display-S2	2022-09-23T02:46:48Z	master	48	
T-Keyboard-S3-Pro	2025-09-06T09:15:56Z	main	23	This is an upgraded version of the T-Keyboard-S3 developed based on the T-Keyboard-S3 project, named T-Keyboard-S3-Pro. 
T-Display-P4	2026-09-01T05:37:13Z	main	58	The T-Display-P4 is a versatile development board based on the ESP32-P4 core.
T-Radar	2026-05-27T07:32:33Z	master	5	
LilyGO-T-HiGrow-LoRaWLAN	2022-10-14T09:45:11Z	master	15	
T-Display-CM0	2026-09-02T09:12:42Z	main	2	board base CM0_Lite
T-Halow	2026-01-16T02:48:47Z	master	88	
documentation	2026-09-02T02:38:17Z	master	1	LILYGO Documentation Site: https://wiki.lilygo.cc/
T-Display-Bar	2026-04-07T02:04:37Z	master	7	Equipped with esp32s3, a 2.25-inch screen, BHI260AP 6-axis AI sensor, and a buzzer
LilyGo-LoRa-Series	2026-08-28T02:48:29Z	master	983	LILYGO LoRa Series examples
T-C5-Base	2026-08-22T06:55:24Z	master	0	
TTGO-T-Display	2025-02-20T08:56:26Z	master	1192	
LilyGO-T-ETH-Series	2026-06-01T02:15:56Z	master	226	
T-Echo-Card	2026-08-31T10:05:36Z	main	16	
LilyGoLib	2026-08-11T01:12:57Z	master	136	T-Watch Ultra &  T-LoRa-Pager & T-Watch-S3 & T-Watch-S3-Plus
T-Dongle-S3	2026-07-24T03:51:10Z	main	412	An ESP32S3 development board that can freely use WIFI, BLE, TF, LED, TFT_LCD functions.
LilyGo-AMOLED-Series	2026-05-06T02:31:43Z	master	226	LilyGo AMOLED Series
LilyGo-Display-IDF	2025-11-03T01:07:57Z	master	69	This project is an esp-idf sample repository for the LilyGo display family.
LilyGo-EPD47	2026-08-19T01:19:03Z	esp32s3	560	
Lilygo-T-Pico2	2025-03-28T02:50:30Z	master	26	2.33-inch screen development board with RP2350 and esp32c3
LilyGo-T-SIM7080G	2026-08-27T06:27:20Z	master	136	
LilyGo-T-SIM7080G-MicroPython	2025-09-17T10:03:47Z	main	3	
T-Panel	2026-08-20T02:54:52Z	main	36	 This is an RGB screen with a pixel resolution of 480x480, featuring dual chips on board, ESP32S3 and ESP32H2 chips, supporting 7-24V voltage input, RS485 communication, and more.
T-Glass-V3	2026-08-28T05:55:06Z	master	0	
T7-C6	2026-04-23T09:46:45Z	main	6	
T-Echo	2026-07-17T08:30:12Z	main	233	
T-Impulse-Plus	2026-08-24T07:29:26Z	main	5	
T-HMI	2026-05-20T04:02:15Z	master	59	
T-Lora-Dual	2025-12-31T07:30:20Z	master	19	two LR1121, LED, ExpressLRS
T-Display-SF32	2026-08-20T03:26:06Z	master	1	
T-PicoC3	2024-01-18T03:35:18Z	main	185	
T-Embed	2026-04-27T05:43:14Z	main	262	
T-Display-S3-AMOLED	2024-08-09T06:52:33Z	main	182	An upgraded version of T-Display-S3. It has a high-resolution color screen and more configurable GPIO ports. Enrich your needs.
T-QT	2026-04-13T01:56:10Z	main	149	
T7-S3	2023-08-23T06:07:20Z	main	37	ESP32-S3 Development Board
LilyGo-T5-Grayscale	2025-05-20T03:31:12Z	master	9	
T-Dongle-C5	2026-08-17T03:04:18Z	master	31	ESP32C5 + LED + TF + LCD + USB
T-Display-K230-nRF52840	2026-08-23T07:04:03Z	master	0	
lilygo-assistant-skill	2026-07-20T09:45:41Z	master	3	
lilygo-micropython	2023-07-12T22:28:57Z	master	127	Micropython for LILYGO boards
T-keyboard	2024-01-06T06:35:52Z	main	88	mini ble Keyboard for IOS/Android/Windows
telink-zigbee-sdk	2022-11-14T05:53:42Z	master	5	
SlFli-SDK-Lilygo	2026-08-21T06:53:31Z	master	0	
T-Deck-MAX	2026-06-18T04:13:00Z	master	18	
LilyGo-T5-Epaper-Series	2026-07-22T02:57:40Z	master	227	
T7-C5	2026-01-20T06:18:09Z	master	3	ESP32-C5 development board
T-Display-S3-Long	2026-06-15T05:48:18Z	T-Display-S3-Long-cst3530	80	
T3-S3-MVSRBoard	2026-01-12T04:14:31Z	main	26	The T3-S3-MVSRBoard is the backplate design for the T3-S3_V1.2 motherboard, featuring onboard speaker and microphone expansion with extremely low static current. Additionally, it includes vibration and RTC (Real-Time Clock) functions.
LilyGo-T-PCIE	2025-03-25T03:00:31Z	master	108	
RFID-UHF-reader	2021-10-29T02:59:07Z	main	28	MagicRF M100/QM100
T5-E-Paper-Basic	2026-08-19T09:03:21Z	master	1	
lilygo-linux-dtoverlays	2026-08-19T08:54:02Z	master	0	
T-Knob	2025-02-17T07:05:45Z	master	19	
LilyGo-Cam-ESP32S3	2026-04-01T02:59:12Z	master	80	
LilyGO-T-Wristband-and-T-Glass	2024-12-24T07:10:12Z	master	81	
LilyGo-EPD-4-7-OWM-Weather-Display	2024-04-02T09:55:28Z	main	99	Using the LilyGo EPD 4.7" display to show OWM Weather Data
VGA32	2022-09-04T03:24:01Z	master	44	ESP32 Display Controller (VGA, PAL/NTSC Color Composite), PS/2 Mouse and Keyboard Controller, Graphics Library, Sound Engine, Game Engine and ANSI/VT Terminal
T-Display-C5	2026-08-17T06:17:39Z	master	2	The LilyGO T-Display-C5 is a development board based on the ESP32-C5, featuring a 1.9-inch ST7789 LCD touchscreen, an AXP2602 power management chip, and a CST816S capacitive touch controller. It supports wake-up from deep sleep via button (IO0) and I2C (IO2, IO3).
T-Circle-S3	2026-06-12T02:49:48Z	arduino-esp32-libs_V2.0.14	33	T-Circle-S3 is a development board with a 0.75-inch onboard small screen developed based on the ESP32S3, equipped with a speaker, microphone, and three-color LED lights. It has six programmable input/output IO ports on the back, which can be expanded to connect a variety of peripherals.
T-Wristband	2023-03-27T02:39:37Z	master	321	DIY Programmable Bracelet
T-Display-K230-nRF9151	2026-08-14T03:17:12Z	main	0	
T-Halow-RJ45	2026-06-26T07:10:40Z	main	6	
T-Deck-Pro	2026-08-11T09:01:39Z	master	116	
T-Energy-S3	2026-04-24T05:35:45Z	main	22	
T-Display-S3-AMOLED-1.43-1.75	2026-06-17T01:56:39Z	main	34	T-Display-AMOLED-1.43-1.75 is a development board featuring a high-definition AMOLED display with a circular shape, based on the ESP32S3, designed for standalone battery connectivity.
LilyGo-T-Pico2-MicroPython	2026-08-13T06:38:05Z	main	0	
T-01C3	2022-01-14T08:43:35Z	main	25	
TTGO_TWatch_Library	2026-01-08T06:12:31Z	master	1069	
T-Track	2026-08-12T02:57:07Z	main	12	
LilyGo-HiGrow	2026-06-22T08:07:50Z	master	137	https://pt.aliexpress.com/item/32815782900.html
T-Panle-P4	2026-08-11T07:23:34Z	master	0	
LilyGo-T-Call-SIM800	2025-10-25T02:25:49Z	master	542	
T-Motor	2026-08-10T06:25:24Z	main	24	
T-Echo-Lite	2026-08-10T01:36:48Z	main	15	
T-MixRF	2026-05-08T02:49:17Z	main	4	
esp-claw	2026-09-02T10:01:05Z	master	1	ESP-Claw, a "Chat Coding" AI agent framework for IoT devices
LilyGo-Esp-Claw	2026-08-08T08:42:35Z	main	6	
T-Internet-COM	2023-05-24T02:18:37Z	main	65	
LilyGoLib-PlatformIO	2025-11-04T07:28:07Z	master	14	
T-SIM7600X	2025-08-09T06:15:27Z	master	169	
LilyGo-Document	2024-04-18T06:21:58Z	master	56	
esp32-camera-screen	2019-11-28T06:39:31Z	master	91	TTGO T-camera Plus
T-FPGA	2026-06-01T09:29:34Z	main	82	The circuit board is an integrated ESP32S3 and FPGA (GW1NSR-LV4CQN48PC6/I5) control chip. With the power management AXP2101 can be used to switch the voltage of different BANK areas.
T-Vending	2026-03-17T02:43:54Z	master	10	
