Designator,Mid X,Mid Y,Rotation,Layer
C1,-32.753,52.171501,180.0,bottom
C10,-1.825,32.4,90.0,bottom
C11,-7.64,34.42,0.0,bottom
C12,-6.5,17.0,270.0,bottom
C13,-9.505,30.75,0.0,bottom
C14,8.3058,13.8658,270.0,bottom
C15,-3.2,17.0,270.0,bottom
C16,-9.825,25.45,180.0,bottom
C17,-38.775,36.9,180.0,bottom
C18,-1.97,16.16,270.0,bottom
C19,-38.8,30.18,270.0,bottom
C2,-32.752998,53.746502,180.0,bottom
C20,-5.25,17.0,270.0,bottom
C21,-4.2418,16.4084,270.0,bottom
C22,-36.43,34.47,90.0,bottom
C23,-9.2,24.425,0.0,bottom
C24,-9.2,22.97,0.0,bottom
C25,-7.5,17.0,270.0,bottom
C26,5.66,32.4,90.0,bottom
C27,-14.108851,16.789347,0.0,bottom
C28,16.58,32.625,90.0,bottom
C29,13.53,28.59,180.0,bottom
C3,-28.4,58.05,180.0,bottom
C30,15.975,24.975,180.0,bottom
C32,-14.75,15.219347,0.0,bottom
C33,-23.38,9.08,180.0,bottom
C34,-21.66,12.77,270.0,bottom
C35,-21.67,10.88,90.0,bottom
C36,-23.39,7.93,180.0,bottom
C37,-24.86,15.3,0.0,bottom
C38,-25.56,14.29,180.0,bottom
C39,-34.8,4.05,0.0,bottom
C4,-28.4988,56.5658,0.0,bottom
C40,-36.6,13.3,0.0,bottom
C41,-29.925,38.625,90.0,bottom
C42,-38.2524,42.2148,180.0,bottom
C43,-44.688727,40.980705,0.0,bottom
C44,-33.7,31.975,180.0,bottom
C45,-21.9,27.250001,90.0,bottom
C46,-19.85,27.260002,90.0,bottom
C47,-27.180002,38.619998,90.0,bottom
C48,-24.674999,27.975,180.0,bottom
C49,-33.94,33.73,180.0,bottom
C5,8.75,19.8,180.0,bottom
C50,45.9,44.16,180.0,bottom
C51,-33.94,42.54,180.0,bottom
C52,44.27,57.01,90.0,bottom
C53,-33.94,40.35,180.0,bottom
C54,-33.94,35.93,180.0,bottom
C55,-33.94,38.13,180.0,bottom
C56,-20.8,39.325,270.0,bottom
C57,41.89,48.09,270.0,bottom
C58,-26.194999,51.225,90.0,bottom
C59,-29.429997,51.249999,90.0,bottom
C6,-7.4,30.74,0.0,bottom
C60,47.81,21.53,180.0,bottom
C61,-29.434998,47.699999,270.0,bottom
C62,-18.78,42.26,270.0,bottom
C63,-26.2,47.674999,270.0,bottom
C64,-18.07,39.47,0.0,bottom
C65,46.43,34.06,180.0,bottom
C66,12.53,53.39,180.0,bottom
C67,36.068,36.3068,270.0,bottom
C68,36.0452,45.0088,180.0,bottom
C69,36.0426,38.608,180.0,bottom
C7,3.1,32.65,90.0,bottom
C70,35.075,6.125,270.0,bottom
C71,34.52,2.66,270.0,bottom
C72,35.075,9.175,90.0,bottom
C73,42.125,10.005,270.0,bottom
C74,40.575,12.125,90.0,bottom
C75,38.2,3.78,270.0,bottom
C76,38.2,1.9,90.0,bottom
C77,35.825,11.45,0.0,bottom
C78,36.49,2.78,270.0,bottom
C79,40.37,3.0,270.0,bottom
C8,-7.95,25.45,0.0,bottom
C80,28.9,12.44,180.0,bottom
C81,31.31,3.26,0.0,bottom
C82,31.82,1.99,0.0,bottom
C83,22.479,18.796,0.0,bottom
C84,41.825,36.945,270.0,bottom
C85,12.411104,27.26,0.0,bottom
C86,36.14,59.23,90.0,bottom
C87,-13.3604,41.9608,90.0,bottom
C88,-14.3764,41.9608,90.0,bottom
C9,1.1,17.6,270.0,bottom
CN1,40.54,59.95,180.0,top
D1,-46.3042,23.1394,180.0,bottom
D10,-39.0,-5.8,270.0,bottom
D11,-42.0,-2.3,270.0,bottom
D12,-38.0,-2.3,270.0,bottom
D13,-44.0,-2.3,270.0,bottom
D14,29.2,-3.9,0.0,top
D15,14.6,-3.9,0.0,top
D16,-14.6,-3.9,0.0,top
D17,-29.2,-3.9,0.0,top
D18,-30.0,-2.3,270.0,bottom
D19,-34.0,-2.3,270.0,bottom
