"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C14,C15";"0603C";2;"2u2-GRM188R61E225MA12D";;;
2;"Q8,Q2,Q3";"SOT-23-3";3;"NPN";;;
3;"K25,K36,K5,K13,K33,K24,K8,K9,K6,K40,K18,K35,K16,K22,K37,K29,K31,K7,K12,K17,K19,K27,K28,K38,K23,K34,K14,K41,K39,K26,K15,K32,K30,K21";"HEADER_MALE_1X1_Inkplate";34;"HEADER_MALE_1X1_Inkplate";;;
4;"R2";"0603R";1;"NTC-NCP18XH103F03RB";;;
5;"R17,R18";"0603R";2;"5k1";;;
6;"C34,C35";"0603C";2;"DNP";;;
7;"R19,R34";"0603R";2;"DNP";;;
8;"R47,R4,R27,R42,R48,R26,R1";"0603R";7;"10k";;;
9;"C37,C26,C28,C52,C25,C31";"0603C";6;"2u2";;;
10;"PAD3,PAD2,PAD4,PAD1,PAD7";"PAD_4x4";5;"PAD_4x4";;;
11;"C19,C18";"0603C";2;"100n-AC0603KRX7R8BB104";;;
12;"U7";"PCF85063A";1;"PCF85063A";;;
13;"Q7,Q9";"SOT-23-3";2;"SSM3J358R,LF";;;
14;"C45,C6,C1,C13,C43,C2,C46,C44,C7,C9,C42,C3,C11,C12,C4";"0805C";15;"4u7-TMK212AB7475KG-T";;;
15;"R37,R28,R23,R35,R24,R20";"0603R";6;"1k";;;
16;"Q6,Q10,Q5";"SOT-23-3";3;"PMOS";;;
17;"JP1,JP7";"SMD_JUMPER";2;"SMD_JUMPER";;;
18;"D3,D1";"SOD-323-2";2;"CUS10F30,H3F";;;
19;"L1";"1515L";1;"LQH44PN4R7MP0L";;;
20;"K2";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
21;"R21";"0603R";1;"0R";;;
22;"D12,D11";"M4_DIODA";2;"M4_DIODA";;;
23;"D7,D6";"SOT-23-3";2;"BAT54S";;;
24;"C24,C55";"2917C";2;"DNP";;;
25;"R39,R7,R44,R43,R30,R38,R25,R36,R41,R6,R5,R31,R40,R45";"0603R";14;"100k";;;
26;"C21,C51,C27";"1206C";3;"10u";;;
27;"U8";"SN74LVC1G34DBV";1;"SN74LVC1G34DBV";;;
28;"R12,R10,R9,R8,R11";"0603R";5;"4k7";;;
29;"C16,C17";"0603C";2;"10n-AC0603KRX7R8BB103";;;
30;"R46";"0603R";1;"330R";;;
31;"C50,C49,C20,C36,C54,C29,C48,C38,C32,C41,C22,C39,C33,C30,C53,C23";"0603C";16;"100n";;;
32;"C47";"0603C";1;"4u7";;;
33;"Q4";"SOT-23-3";1;"NMOS";;;
34;"L2";"NR4012";1;"NR4012T2R2M";;;
35;"H4,H3,H2,H1";"Standoff_M3";4;"Standoff_M3";;;
36;"JP4,JP2,JP3,JP6,JP5";"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";5;"SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE";;;
37;"F1";"1206FUSE";1;"1206FUSE-500mA";;;
38;"K10";"CR2032-BS-6-1";1;"CR2032_BS-6-1";;;
39;"R3";"0603R";1;"43k-RC0603FR-0743KL";;;
40;"D2,D4,D5,D10";"SOD-323";4;"BAT20J";;;
41;"R13,R15";"0603R";2;"1M";;;
42;"U3";"SOP-16";1;"CH340C";;;
43;"K3";"easyC-connector";1;"easyC-SMD";;;
44;"R14";"0603R";1;"47k5-RC0603FR-0747K5L";;;
45;"JP8";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";;;
46;"R32";"0603R";1;"2k49";;;
47;"C5,C8,C10";"0603C";3;"10u-GRM188R61E106KA73J";;;
48;"K11";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
49;"D9";"LTST-S270GKT";1;"0603LED_SIDE";;;
50;"U1";"VQFN-49";1;"TPS65186RGZ";;;
51;"SW2,SW3";"K2-1114SA-A4SW-06";2;"K2-1114SA-A4SW-06";;;
52;"U4";"SOT-23-5";1;"MCP73831T";;;
53;"K20";"AXE540127";1;"AXE540127";;;
54;"U5";"TSSOP-14";1;"MC14093BDTR2G";;;
55;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
56;"R16";"0603R";1;"52k3-RC0603FR-0752K3L";;;
57;"U10";"ESP32-WROVER";1;"ESP32-WROVER";;;
58;"U2";"SOT-23-5";1;"TPS3840PL27DBVR";;;
59;"R33";"0603R";1;"47R";;;
60;"R29";"0603R";1;"510k";;;
61;"SW1";"YTSA007A0151803B";1;"YTSA007A0151803B";;;
62;"Q1";"SOT-23-3";1;"DNP";;;
63;"K1";"INKPLATE TEST HEADER";1;"Inkplate_TP";;;
64;"K4";"JST-2pin-SMD";1;"JST-2pin-SMD";;;
65;"R22";"0603R";1;"47k";;;
66;"U9";"PCAL6416AHF,128";1;"PCAL6416AHF,128";;;
67;"X1";"ABS07AIG-32.768KHZ-7-D-T";1;"7LC32768F12UC";;;
68;"C40";"0603C";1;"100p";;;
69;"D8";"0402LED";1;"RED";;;
70;"U6";"TPS7A2633DRVR";1;"TPS7A2633DRVR";;;
71;"U11";"ED052TC2";1;"ED052TC2";;;
