"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C6,C7,C9,C11,C12,C13,C42,C43,C44,C45,C46","4u7-TMK212AB7475KG-T","","Soldered footprints:0805C","15",""
"C5,C8,C10","10u-GRM188R61E106KA73J","","Soldered footprints:0603C","3",""
"C14,C15","2u2-GRM188R61E225MA12D","","Soldered footprints:0603C","2",""
"C16,C17","10n-AC0603KRX7R8BB103","","Soldered footprints:0603C","2",""
"C18,C19","100n-AC0603KRX7R8BB104","","Soldered footprints:0603C","2",""
"C20,C22,C23,C29,C30,C32,C33,C36,C39,C41,C48,C49,C50,C53,C54","100n","","Soldered footprints:0603C","15",""
"C21,C27,C51,C60,C61","10u","","Soldered footprints:1206C","5",""
"C24,C55,Q1,R19,R32","DNP","","-- mixed values --","5",""
"C25,C26,C28,C31,C38,C52,C59","2u2","","Soldered footprints:0603C","7",""
"C34,C35","12p","","Soldered footprints:0603C","2",""
"C37","47n","","Soldered footprints:0603C","1",""
"C40,C56,C57","100p","","Soldered footprints:0603C","3",""
"C47,C58","4u7","","Soldered footprints:0603C","2",""
"C62","470p","","Soldered footprints:0603C","1",""
"D1,D3","CUS10F30,H3F","","Soldered footprints:SOD-323-2","2",""
"D2,D4,D5,D10","BAT20J","","Soldered footprints:SOD-323","4",""
"D6,D7","BAT54S","","Soldered footprints:SOT-23-3","2",""
"D11,D12","M4_DIODA","","Soldered footprints:M4_DIODA","2",""
"H1,H2,H3,H4","Standoff_M3","","Soldered footprints:Standoff_M3","4",""
"JP1,JP4","SMD_JUMPER","","Soldered footprints:SMD_JUMPER","2",""
"JP2,JP3,JP6,JP7,JP8","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE","","Soldered footprints:SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE","5",""
"JP5","SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK","","Soldered footprints:SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK","1",""
"K1"," HC-1.25-16PWT","","Soldered footprints:HC-1.25-16PWT","1",""
"K2"," HC-1.25-6PWT","","Soldered footprints:HC-1.25-6PWT","1",""
"K3","qwiic-SMD","","Soldered footprints:qwiic-connector","1",""
