Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7-TMK212AB7475KG-T","0805C",73.200000,19.900000,180.000000,top
"C2","4u7-TMK212AB7475KG-T","0805C",76.100000,20.300000,90.000000,top
"C3","4u7-TMK212AB7475KG-T","0805C",74.900000,23.000000,180.000000,top
"C4","4u7-TMK212AB7475KG-T","0805C",74.900000,24.800000,180.000000,top
"C5","10u-GRM188R61E106KA73J","0603C",72.200000,26.800000,-90.000000,top
"C6","4u7-TMK212AB7475KG-T","0805C",71.800000,29.200000,180.000000,top
"C7","4u7-TMK212AB7475KG-T","0805C",69.000000,30.900000,-90.000000,top
"C8","10u-GRM188R61E106KA73J","0603C",61.000000,27.000000,-90.000000,top
"C9","4u7-TMK212AB7475KG-T","0805C",65.700000,30.600000,90.000000,top
"C10","10u-GRM188R61E106KA73J","0603C",67.900000,13.100000,0.000000,top
"C11","4u7-TMK212AB7475KG-T","0805C",62.200000,19.100000,180.000000,top
"C12","4u7-TMK212AB7475KG-T","0805C",62.200000,17.300000,0.000000,top
"C13","4u7-TMK212AB7475KG-T","0805C",70.900000,16.400000,90.000000,top
"C14","2u2-GRM188R61E225MA12D","0603C",55.200000,16.700000,180.000000,top
"C15","2u2-GRM188R61E225MA12D","0603C",53.800000,29.100000,0.000000,top
"C16","10n-AC0603KRX7R8BB103","0603C",59.900000,24.300000,0.000000,top
"C17","10n-AC0603KRX7R8BB103","0603C",59.900000,21.400000,180.000000,top
"C18","100n-AC0603KRX7R8BB104","0603C",53.800000,24.800000,0.000000,top
"C19","100n-AC0603KRX7R8BB104","0603C",53.800000,21.000000,0.000000,top
"C20","100n","0603C",34.100000,11.200000,-90.000000,top
"C21","10u","1206C",63.600000,68.100000,-90.000000,top
"C22","100n","0603C",35.900000,17.300000,180.000000,top
"C23","100n","0603C",61.900000,67.200000,-90.000000,top
"C24","DNP","2917C",48.900000,60.400000,90.000000,top
"C25","2u2","0603C",52.200000,57.200000,-90.000000,top
"C26","2u2","0603C",46.200000,42.600000,-90.000000,top
"C27","10u","1206C",48.650000,14.550000,-90.000000,top
"C28","2u2","0603C",50.500000,13.700000,-90.000000,top
"C29","100n","0603C",51.800000,13.700000,-90.000000,top
"C30","100n","0603C",53.100000,13.700000,-90.000000,top
"C31","2u2","0603C",59.680000,13.850000,-90.000000,top
"C32","100n","0603C",10.200000,13.800000,0.000000,top
"C33","100n","0603C",58.250000,13.850000,-90.000000,top
"C34","12p","0603C",110.100000,56.900000,90.000000,top
"C35","12p","0603C",113.100000,60.200000,180.000000,top
"C36","100n","0603C",107.400000,56.900000,90.000000,top
"C37","47n","0603C",9.100000,48.100000,0.000000,top
"C38","2u2","0603C",10.200000,42.700000,0.000000,top
"C39","100n","0603C",10.200000,44.100000,0.000000,top
"C40","100p","0603C",34.400000,41.400000,0.000000,top
"C41","100n","0603C",39.100000,38.200000,-90.000000,top
"C42","4u7-TMK212AB7475KG-T","0805C",22.900000,26.100000,0.000000,top
"C43","4u7-TMK212AB7475KG-T","0805C",23.100000,34.900000,0.000000,top
"C44","4u7-TMK212AB7475KG-T","0805C",22.900000,23.600000,0.000000,top
"C45","4u7-TMK212AB7475KG-T","0805C",28.000000,36.300000,0.000000,top
"C46","4u7-TMK212AB7475KG-T","0805C",23.100000,33.100000,0.000000,top
"C47","4u7","0603C",22.800000,30.500000,0.000000,top
"C48","100n","0603C",22.800000,29.000000,0.000000,top
"C49","100n","0603C",22.800000,27.700000,0.000000,top
"C50","100n","0603C",103.900000,14.300000,180.000000,top
"C51","10u","1206C",70.400000,63.600000,90.000000,top
"C52","2u2","0603C",70.175000,67.230000,-90.000000,top
"C53","100n","0603C",71.625000,67.230000,-90.000000,top
"C54","100n","0603C",73.000000,67.230000,-90.000000,top
"C55","DNP","2917C",67.000000,68.100000,90.000000,top
"C56","100p","0603C",53.800000,18.100000,0.000000,top
"C57","100p","0603C",53.800000,27.700000,0.000000,top
"C58","4u7","0603C",10.200000,41.200000,0.000000,top
"C59","2u2","0603C",13.900000,43.700000,90.000000,top
"C60","10u","1206C",9.000000,46.200000,0.000000,top
"C61","10u","1206C",12.000000,53.100000,90.000000,top
"C62","470p","0603C",16.500000,52.400000,-90.000000,top
"D1","CUS10F30,H3F","SOD-323-2",64.000000,30.600000,-90.000000,top
"D2","BAT20J","SOD-323",50.000000,20.300000,90.000000,top
"D3","CUS10F30,H3F","SOD-323-2",63.000000,15.300000,0.000000,top
"D4","BAT20J","SOD-323",71.800000,32.600000,180.000000,top
"D5","BAT20J","SOD-323",53.800000,31.725500,0.000000,top
"D6","BAT54S","SOT-23-3",57.400000,25.800000,180.000000,top
"D7","BAT54S","SOT-23-3",57.400000,20.000000,180.000000,top
"D10","BAT20J","SOD-323",14.000000,18.100000,180.000000,top
"D11","M4_DIODA","M4_DIODA",103.270000,50.800000,90.000000,top
"D12","M4_DIODA","M4_DIODA",106.900000,50.800000,90.000000,top
"H1","Standoff_M3","Standoff_M3",127.190000,3.400000,-90.000000,top
"H2","Standoff_M3","Standoff_M3",3.400000,71.830000,-90.000000,top
"H3","Standoff_M3","Standoff_M3",3.400000,3.400000,-90.000000,top
"H4","Standoff_M3","Standoff_M3",127.190000,71.830000,-90.000000,top
"JP1","SMD_JUMPER","SMD_JUMPER",23.300000,39.900000,90.000000,top
"JP2","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE",104.800000,59.700000,0.000000,top
"JP3","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE",78.000000,35.000000,0.000000,top
"JP4","SMD_JUMPER","SMD_JUMPER",37.500000,43.200000,180.000000,top
"JP5","SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK","SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK",35.300000,43.200000,0.000000,top
"JP6","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE",102.000000,20.000000,180.000000,top
"JP7","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE",92.000000,11.100000,0.000000,top
"JP8","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE","SMD_JUMPER_3_PAD_CONNECTED_LEFT_TRACE",89.000000,11.100000,0.000000,top
"K1"," HC-1.25-16PWT","HC-1.25-16PWT",6.500000,25.000000,-90.000000,top
"K2"," HC-1.25-6PWT","HC-1.25-6PWT",125.000000,43.000000,90.000000,top
"K3","qwiic-SMD","qwiic-connector",100.000000,34.000000,180.000000,top
"K4","JST-2pin-SMD","JST-2pin-SMD",57.950000,57.200000,-90.000000,top
