Ref,Val,Package,PosX,PosY,Rot,Side
"C1","GRM155R61A106ME11D ","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",107.604000,18.282000,90.000000,bottom
"C2","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",106.393500,18.282000,90.000000,bottom
"C3","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",153.900000,18.250000,180.000000,bottom
"CH1","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",9.420000,83.930000,180.000000,bottom
"CH2","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",27.420000,83.930000,180.000000,bottom
"CH3","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",45.420000,83.930000,180.000000,bottom
"CH4","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",63.420000,83.930000,180.000000,bottom
"CH5","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",81.420000,83.930000,180.000000,bottom
"CH6","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",99.420000,83.930000,180.000000,bottom
"CH7","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",117.420000,83.930000,180.000000,bottom
"CH8","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",135.420000,83.930000,180.000000,bottom
"CH9","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",153.420000,83.930000,180.000000,bottom
"CH10","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",171.420000,83.930000,180.000000,bottom
"CH11","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",189.420000,83.930000,180.000000,bottom
"CH12","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",207.420000,83.930000,180.000000,bottom
"CH13","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",225.420000,83.930000,180.000000,bottom
"CH14","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",252.420000,83.930000,180.000000,bottom
"CH15","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1.5u_custom",13.920000,66.930000,180.000000,bottom
"CH16","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",36.420000,66.930000,180.000000,bottom
"CH17","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",54.420000,66.930000,180.000000,bottom
"CH18","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",72.420000,66.930000,180.000000,bottom
"CH19","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",90.420000,66.930000,180.000000,bottom
"CH20","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",108.420000,66.930000,180.000000,bottom
"CH21","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",126.420000,66.930000,180.000000,bottom
"CH22","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",144.420000,66.930000,180.000000,bottom
"CH23","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",162.420000,66.930000,180.000000,bottom
"CH24","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",180.420000,66.930000,180.000000,bottom
"CH25","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",198.420000,66.930000,180.000000,bottom
"CH26","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",216.420000,66.930000,180.000000,bottom
"CH27","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",234.420000,66.930000,180.000000,bottom
"CH28","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1.5u_custom",256.920000,66.930000,180.000000,bottom
"CH29","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1.75u",16.170000,49.930000,180.000000,bottom
"CH30","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",40.920000,49.930000,180.000000,bottom
"CH31","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",58.920000,49.930000,180.000000,bottom
"CH32","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",76.920000,49.930000,180.000000,bottom
"CH33","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",94.920000,49.930000,180.000000,bottom
"CH34","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",112.920000,49.930000,180.000000,bottom
"CH35","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",130.920000,49.930000,180.000000,bottom
"CH36","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",148.920000,49.930000,180.000000,bottom
"CH37","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",166.920000,49.930000,180.000000,bottom
"CH38","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",184.920000,49.930000,180.000000,bottom
"CH39","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",202.920000,49.930000,180.000000,bottom
"CH40","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",220.920000,49.930000,180.000000,bottom
"CH41","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",250.170000,49.930000,180.000000,bottom
"CH42","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",20.670000,32.930000,180.000000,bottom
"CH43","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",49.920000,32.930000,180.000000,bottom
"CH44","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",67.920000,32.930000,180.000000,bottom
"CH45","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",85.920000,32.930000,180.000000,bottom
"CH46","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",103.920000,32.930000,180.000000,bottom
"CH47","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",121.920000,32.930000,180.000000,bottom
"CH48","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",139.920000,32.930000,180.000000,bottom
"CH49","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",157.920000,32.930000,180.000000,bottom
"CH50","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",175.920000,32.930000,180.000000,bottom
"CH51","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",193.920000,32.930000,180.000000,bottom
"CH52","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",211.920000,32.930000,180.000000,bottom
"CH53","choc_v1_SW_HS","SW_choc_v1_HS_CPG135001S30_1u_custom",245.670000,32.930000,180.000000,bottom
