"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R1";"0603R";2;"5k1";;;
2;"R7,R6,R5";"0603R";3;"100k";;;
3;"H2,H3,H1";"HOLE_3.2mm";3;"HOLE_3.2mm";;;
4;"R4";"0603R";1;"1k";;;
5;"K1";"U262-161N-4BVC11";1;"U262-161N-4BVC11";;;
6;"D1";"LTST-S270GKT";1;"LTST-S270EKT";;;
7;"F1";"1206FUSE";1;"SMD1206-350-6V";;;
8;"C3,C2";"0603C";2;"100n";;;
9;"C1";"0603C";1;"2u2";;;
10;"D2";"LTST-S270GKT";1;"LTST-S270TBKT";;;
11;"R3";"0603R";1;"2k2";;;
12;"K3";"HC-1.25-16PWT";1;" HC-1.25-16PWT";;;
13;"S1";"SK-3296S-01-L1";1;"SK-3296S-01-L1";;;
14;"K2";"HYC77-TF09-200";1;"HYC77-TF09-200";;;
