"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","2u2","","Soldered footprints:0603C","1",""
"C2,C3","100n","","Soldered footprints:0603C","2",""
"D1","LTST-S270EKT","","Soldered footprints:LTST-S270GKT","1",""
"D2","LTST-S270TBKT","","Soldered footprints:LTST-S270GKT","1",""
"F1","SMD1206-350-6V","","Soldered footprints:1206FUSE","1",""
"H1,H2,H3","HOLE_3.2mm","","Soldered footprints:HOLE_3.2mm","3",""
"K1","U262-161N-4BVC11","","Soldered footprints:U262-161N-4BVC11","1",""
"K2","HYC77-TF09-200","","Soldered footprints:HYC77-TF09-200","1",""
"K3"," HC-1.25-16PWT","","Soldered footprints:HC-1.25-16PWT","1",""
"R1,R2","5k1","","Soldered footprints:0603R","2",""
"R3","2k2","","Soldered footprints:0603R","1",""
"R4","1k","","Soldered footprints:0603R","1",""
"R5,R6,R7","100k","","Soldered footprints:0603R","3",""
"S1","SK-3296S-01-L1","","Soldered footprints:SK-3296S-01-L1","1",""
