Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","0603C",10.200000,23.400000,90.000000,top
"C2","100n","0603C",11.600000,23.400000,90.000000,top
"C3","100n","0603C",13.000000,23.400000,90.000000,top
"D1","LTST-S270EKT","LTST-S270GKT",28.700000,37.000000,90.000000,top
"D2","LTST-S270TBKT","LTST-S270GKT",28.700000,14.000000,90.000000,top
"F1","SMD1206-350-6V","1206FUSE",18.500000,41.300000,90.000000,top
"H1","HOLE_3.2mm","HOLE_3.2mm",21.000000,3.000000,0.000000,top
"H2","HOLE_3.2mm","HOLE_3.2mm",3.000000,3.000000,0.000000,top
"H3","HOLE_3.2mm","HOLE_3.2mm",15.000000,51.000000,0.000000,top
"K1","U262-161N-4BVC11","U262-161N-4BVC11",27.000000,45.000000,-90.000000,top
"K2","HYC77-TF09-200","HYC77-TF09-200",20.500000,25.000000,90.000000,top
"K3"," HC-1.25-16PWT","HC-1.25-16PWT",6.000000,27.000000,-90.000000,top
"R1","5k1","0603R",24.000000,52.000000,180.000000,top
"R2","5k1","0603R",24.000000,38.000000,180.000000,top
"R3","2k2","0603R",24.000000,36.000000,180.000000,top
"R4","1k","0603R",24.300000,14.000000,90.000000,top
"R5","100k","0603R",13.200000,31.700000,90.000000,top
"R6","100k","0603R",11.700000,31.700000,90.000000,top
"R7","100k","0603R",12.700000,19.900000,-90.000000,top
"S1","SK-3296S-01-L1","SK-3296S-01-L1",28.000000,7.000000,-90.000000,top
